year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",106.00,39.00,14.10,2.46,7.62,0.00,14.82,4.00,0.00,3936.00,1232.00,243.00,783.00,0.00,1678.00
2025,6,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",84.00,20.00,4.76,0.00,9.61,0.00,5.63,11.00,0.00,1367.00,354.00,0.00,509.00,0.00,504.00
2025,6,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",6.00,3.00,1.72,0.00,0.38,0.00,0.90,1.00,0.00,204.00,147.00,0.00,21.00,0.00,36.00
2025,6,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",98.00,29.00,10.37,0.00,9.23,0.00,9.40,8.00,0.00,2953.00,1526.00,0.00,729.00,0.00,698.00
2025,6,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",287.00,85.00,27.09,1.45,14.91,0.00,41.55,16.00,0.00,8556.00,1615.00,46.00,3148.00,0.00,3747.00
2025,6,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",60.00,15.00,3.47,1.00,1.64,0.00,8.89,3.00,0.00,1784.00,823.00,52.00,112.00,0.00,797.00
2025,6,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",34.00,12.00,6.16,1.00,3.74,0.00,1.09,0.00,0.00,568.00,277.00,38.00,157.00,0.00,96.00
2025,6,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",175.00,63.00,18.26,0.00,23.21,0.00,21.53,12.00,1.00,5528.00,1348.00,0.00,1529.00,0.00,2651.00
2025,6,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",1861.00,489.00,88.79,22.32,218.26,0.00,159.63,167.00,1.00,51729.00,10038.00,2790.00,22372.00,0.00,16529.00
2025,6,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",70.00,26.00,4.09,0.79,3.62,0.00,17.49,4.00,0.00,2451.00,333.00,102.00,418.00,0.00,1598.00
2025,6,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",79.00,25.00,7.99,3.75,4.60,0.00,8.66,2.00,0.00,1274.00,342.00,257.00,243.00,0.00,432.00
2025,6,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",2612.00,713.00,151.38,40.58,234.83,0.00,286.20,190.00,20.00,77526.00,18032.00,5828.00,25638.00,0.00,28028.00
2025,6,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",31.00,18.00,5.48,0.68,5.49,0.00,6.35,2.00,0.00,1484.00,548.00,59.00,322.00,0.00,555.00
2025,6,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",81.00,20.00,7.99,0.89,8.84,0.00,2.28,2.00,0.00,1366.00,509.00,244.00,426.00,0.00,187.00
2025,6,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",72.00,17.00,5.69,1.24,2.35,0.00,7.72,1.00,0.00,1324.00,419.00,132.00,185.00,0.00,588.00
2025,6,9E,Endeavor Air Inc.,MDW,"Chicago, IL: Chicago Midway International",25.00,9.00,4.87,0.91,0.54,0.00,2.68,1.00,0.00,477.00,295.00,28.00,16.00,0.00,138.00
2025,6,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",86.00,26.00,8.44,0.00,7.02,0.00,10.54,9.00,0.00,2069.00,921.00,0.00,482.00,0.00,666.00
2025,6,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",71.00,21.00,11.32,1.29,3.00,0.00,5.39,0.00,0.00,1419.00,752.00,50.00,245.00,0.00,372.00
2025,6,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",78.00,28.00,8.80,0.00,6.61,0.00,12.59,4.00,0.00,2507.00,1121.00,0.00,426.00,0.00,960.00
2025,6,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad Cities International",60.00,20.00,3.66,1.32,5.33,0.00,9.69,2.00,0.00,1441.00,230.00,128.00,270.00,0.00,813.00
2025,6,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",90.00,31.00,9.49,3.31,3.87,0.00,14.33,3.00,0.00,2755.00,1168.00,417.00,131.00,0.00,1039.00
2025,6,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",93.00,33.00,9.39,2.99,13.33,0.00,7.29,0.00,0.00,1937.00,618.00,200.00,584.00,0.00,535.00
2025,6,9E,Endeavor Air Inc.,MOT,"Minot, ND: Minot International",24.00,8.00,1.07,0.92,0.00,0.00,6.01,0.00,0.00,597.00,60.00,47.00,0.00,0.00,490.00
2025,6,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",58.00,17.00,9.11,1.18,2.23,0.00,4.47,2.00,0.00,1793.00,770.00,219.00,209.00,0.00,595.00
2025,6,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",957.00,212.00,46.34,13.31,25.91,0.00,126.45,20.00,0.00,17554.00,4077.00,1100.00,2177.00,0.00,10200.00
2025,6,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",114.00,34.00,8.88,1.29,8.70,0.00,15.13,1.00,0.00,2600.00,516.00,71.00,586.00,0.00,1427.00
2025,6,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",99.00,34.00,9.90,1.17,7.86,0.00,15.07,6.00,0.00,3283.00,992.00,54.00,594.00,0.00,1643.00
2025,6,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",87.00,15.00,5.99,1.00,6.52,0.00,1.49,8.00,0.00,995.00,341.00,93.00,409.00,0.00,152.00
2025,6,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",175.00,66.00,19.88,0.00,21.99,0.00,24.14,11.00,1.00,5105.00,1769.00,0.00,1231.00,0.00,2105.00
2025,6,9E,Endeavor Air Inc.,ORH,"Worcester, MA: Worcester Regional",26.00,4.00,2.16,0.00,0.65,0.00,1.19,2.00,0.00,172.00,135.00,0.00,12.00,0.00,25.00
2025,6,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",114.00,38.00,17.83,0.28,14.28,0.00,5.61,5.00,0.00,2963.00,1536.00,90.00,645.00,0.00,692.00
2025,6,9E,Endeavor Air Inc.,PNS,"Pensacola, FL: Pensacola International",15.00,4.00,2.72,0.00,1.19,0.00,0.09,0.00,0.00,151.00,124.00,0.00,22.00,0.00,5.00
2025,6,9E,Endeavor Air Inc.,PVD,"Providence, RI: Rhode Island Tf Green International",59.00,9.00,2.88,0.00,1.36,0.00,4.75,3.00,1.00,726.00,228.00,0.00,54.00,0.00,444.00
2025,6,9E,Endeavor Air Inc.,PWM,"Portland, ME: Portland International Jetport",154.00,49.00,10.26,0.90,11.80,0.00,26.04,10.00,1.00,4815.00,1130.00,748.00,466.00,0.00,2471.00
2025,6,9E,Endeavor Air Inc.,RAP,"Rapid City, SD: Rapid City Regional",47.00,14.00,6.92,0.00,2.12,0.00,4.96,0.00,0.00,596.00,246.00,0.00,64.00,0.00,286.00
2025,6,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",611.00,185.00,27.25,1.53,37.50,0.00,118.71,39.00,1.00,18186.00,3361.00,72.00,2895.00,0.00,11858.00
2025,6,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International",215.00,61.00,14.71,1.12,17.71,0.00,27.46,20.00,0.00,5328.00,960.00,494.00,1133.00,0.00,2741.00
2025,6,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional",112.00,31.00,12.14,0.88,6.90,0.00,11.08,7.00,1.00,2417.00,628.00,107.00,896.00,0.00,786.00
2025,6,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",228.00,72.00,21.03,0.86,14.90,0.00,35.22,21.00,0.00,6367.00,989.00,205.00,2092.00,0.00,3081.00
2025,6,9E,Endeavor Air Inc.,RST,"Rochester, MN: Rochester International",47.00,17.00,4.99,0.02,2.29,0.00,9.69,0.00,0.00,981.00,217.00,2.00,70.00,0.00,692.00
2025,6,9E,Endeavor Air Inc.,RSW,"Fort Myers, FL: Southwest Florida International",4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,78.00,0.00,0.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",145.00,40.00,8.20,0.16,19.16,0.00,12.47,9.00,1.00,3524.00,719.00,30.00,1349.00,0.00,1426.00
2025,6,9E,Endeavor Air Inc.,SBN,"South Bend, IN: South Bend International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",40.00,4.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,93.00,54.00,0.00,19.00,0.00,20.00
2025,6,9E,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",29.00,3.00,0.26,0.00,1.89,0.00,0.84,1.00,0.00,264.00,9.00,0.00,227.00,0.00,28.00
2025,6,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional",20.00,2.00,0.97,0.00,0.50,0.00,0.53,1.00,0.00,123.00,26.00,0.00,43.00,0.00,54.00
2025,6,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International",166.00,43.00,18.32,0.94,10.33,0.00,13.42,7.00,0.00,4408.00,2029.00,15.00,917.00,0.00,1447.00
2025,6,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",262.00,69.00,24.61,2.09,11.03,0.00,31.27,20.00,0.00,6455.00,2796.00,196.00,934.00,0.00,2529.00
2025,6,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International",61.00,17.00,4.39,0.50,5.23,0.00,6.88,0.00,0.00,1030.00,199.00,67.00,273.00,0.00,491.00
2025,6,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",65.00,10.00,5.03,0.65,1.77,0.00,2.56,0.00,1.00,728.00,391.00,55.00,94.00,0.00,188.00
2025,6,9E,Endeavor Air Inc.,TUL,"Tulsa, OK: Tulsa International",27.00,12.00,3.00,0.00,4.93,0.00,4.06,2.00,0.00,1686.00,187.00,0.00,1165.00,0.00,334.00
2025,6,9E,Endeavor Air Inc.,TVC,"Traverse City, MI: Cherry Capital",38.00,8.00,3.34,0.00,0.87,0.00,3.79,2.00,0.00,427.00,193.00,0.00,81.00,0.00,153.00
2025,6,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson",306.00,116.00,40.55,9.93,30.58,0.00,34.94,14.00,0.00,10995.00,2964.00,912.00,2870.00,0.00,4249.00
2025,6,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional",86.00,32.00,13.64,1.46,4.65,0.00,12.26,2.00,0.00,2279.00,1080.00,206.00,200.00,0.00,793.00
2025,6,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas National",284.00,83.00,32.95,2.35,20.88,0.00,26.82,13.00,1.00,7048.00,3105.00,618.00,1093.00,0.00,2232.00
2025,6,AA,American Airlines Network,ABQ,"Albuquerque, NM: Albuquerque International Sunport",285.00,112.00,42.18,1.48,16.47,0.00,51.87,9.00,2.00,7735.00,3636.00,33.00,601.00,0.00,3465.00
2025,6,AA,American Airlines Network,ALB,"Albany, NY: Albany International",105.00,43.00,11.02,4.82,4.99,0.90,21.26,2.00,1.00,3399.00,628.00,830.00,213.00,168.00,1560.00
2025,6,AA,American Airlines Network,AMA,"Amarillo, TX: Rick Husband Amarillo International",26.00,15.00,8.49,0.28,0.86,0.00,5.37,1.00,1.00,854.00,438.00,15.00,42.00,0.00,359.00
2025,6,AA,American Airlines Network,ANC,"Anchorage, AK: Ted Stevens Anchorage International",87.00,48.00,21.45,1.25,13.60,0.00,11.70,0.00,0.00,3550.00,974.00,52.00,502.00,0.00,2022.00
2025,6,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",655.00,259.00,70.16,5.86,67.93,0.00,115.06,17.00,12.00,22903.00,5928.00,885.00,4407.00,0.00,11683.00
2025,6,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",1003.00,308.00,90.04,15.64,55.26,0.85,146.20,24.00,2.00,24041.00,6994.00,2349.00,2827.00,23.00,11848.00
2025,6,AA,American Airlines Network,AVL,"Asheville, NC: Asheville Regional",86.00,37.00,6.26,3.44,8.96,0.00,18.34,6.00,0.00,3084.00,400.00,549.00,488.00,0.00,1647.00
2025,6,AA,American Airlines Network,BDL,"Hartford, CT: Bradley International",406.00,155.00,50.49,8.12,23.73,0.00,72.66,11.00,1.00,10874.00,3641.00,765.00,1071.00,0.00,5397.00
2025,6,AA,American Airlines Network,BFL,"Bakersfield, CA: Meadows Field",57.00,24.00,8.38,0.09,2.07,0.00,13.47,0.00,0.00,1613.00,454.00,16.00,122.00,0.00,1021.00
2025,6,AA,American Airlines Network,BGR,"Bangor, ME: Bangor International",54.00,16.00,5.43,0.00,4.37,0.00,6.20,2.00,0.00,1041.00,501.00,0.00,117.00,0.00,423.00
2025,6,AA,American Airlines Network,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",51.00,26.00,8.20,2.47,7.85,0.00,7.47,2.00,2.00,2074.00,884.00,269.00,343.00,0.00,578.00
2025,6,AA,American Airlines Network,BNA,"Nashville, TN: Nashville International",851.00,348.00,84.86,13.79,71.93,0.00,177.41,25.00,5.00,28875.00,7131.00,1360.00,4016.00,0.00,16368.00
2025,6,AA,American Airlines Network,BOI,"Boise, ID: Boise Air Terminal",85.00,30.00,7.48,0.20,3.43,0.00,18.89,2.00,0.00,2268.00,841.00,12.00,166.00,0.00,1249.00
2025,6,AA,American Airlines Network,BOS,"Boston, MA: Logan International",1390.00,433.00,126.63,18.99,110.62,0.01,176.75,34.00,1.00,33216.00,9567.00,2190.00,6044.00,1.00,15414.00
2025,6,AA,American Airlines Network,BTV,"Burlington, VT: Patrick Leahy Burlington International",52.00,11.00,5.02,0.16,2.83,0.00,3.00,1.00,0.00,3055.00,1784.00,16.00,135.00,0.00,1120.00
2025,6,AA,American Airlines Network,BUF,"Buffalo, NY: Buffalo Niagara International",221.00,91.00,27.90,4.08,14.76,0.00,44.26,10.00,0.00,6053.00,1534.00,865.00,670.00,0.00,2984.00
2025,6,AA,American Airlines Network,BUR,"Burbank, CA: Bob Hope",90.00,31.00,9.16,0.16,4.87,0.00,16.81,0.00,0.00,2536.00,661.00,7.00,215.00,0.00,1653.00
2025,6,AA,American Airlines Network,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",320.00,142.00,38.11,14.89,27.29,0.00,61.71,9.00,3.00,10435.00,2238.00,2178.00,1444.00,0.00,4575.00
2025,6,AA,American Airlines Network,BZN,"Bozeman, MT: Bozeman Yellowstone International",157.00,47.00,15.98,0.22,9.38,0.00,21.42,2.00,0.00,3947.00,1212.00,75.00,468.00,0.00,2192.00
2025,6,AA,American Airlines Network,CAE,"Columbia, SC: Columbia Metropolitan",8.00,2.00,1.27,0.00,0.14,0.00,0.59,0.00,0.00,43.00,27.00,0.00,3.00,0.00,13.00
2025,6,AA,American Airlines Network,CHS,"Charleston, SC: Charleston AFB/International",509.00,178.00,50.19,14.58,31.52,0.00,81.71,12.00,1.00,14469.00,3733.00,1352.00,1652.00,0.00,7732.00
2025,6,AA,American Airlines Network,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",37.00,22.00,6.57,2.59,1.45,0.00,11.38,1.00,0.00,1898.00,749.00,181.00,142.00,0.00,826.00
2025,6,AA,American Airlines Network,CLE,"Cleveland, OH: Cleveland-Hopkins International",378.00,156.00,45.89,12.83,31.29,0.00,65.99,13.00,1.00,14010.00,3947.00,1535.00,1374.00,0.00,7154.00
2025,6,AA,American Airlines Network,CLT,"Charlotte, NC: Charlotte Douglas International",9929.00,2576.00,618.03,260.59,671.40,6.10,1019.87,279.00,24.00,245345.00,69646.00,30028.00,42919.00,263.00,102489.00
